Preview,Type,PriceLastSent,ID,WordCount,LengthCat,BestTime,Theme | Tags,LastUsedDate,LastUsedBy,TimesUsed,LastUsedPage,Explicitness
Are you really going to ignore what I sent you babyyy? 😩,BUMP,$0,C06192,12,Short,Afternoon,,2025-07-25 23:43,Camsy,1,Cali Love,OTHER
Too hot to leave locked up... come get it 💦,BUMP,$0,C06193,10,Short,Afternoon,,2025-07-30 00:41,Camsy,2,Cali Love,OTHER
If I sent you a pic now... would you be sweet or naughty? 😳,BUMP,$0,C06194,14,Short,Evening,,,,,,OTHER
im gonna be live in like 45 mins if you want a custom come by and watch it be made live for you ;),BUMP,$0,C06195,24,Medium,Late Night,,,,,,OTHER
"What would you do if I sat on your lap and whispered, “I’m not wearing any panties?"" 👅",BUMP,$0,C06196,18,Short,Evening,,,,,,OTHER
You better be in the mood rn because I am 😈,BUMP,$0,C06197,11,Short,Morning,,2025-08-26 01:39,John,4,,OTHER
Would you let me tie you up... or do you want to make me your good little plaything rn? 🙊,BUMP,$0,C06198,20,Short,Morning,,2025-08-29 02:17,Gee,1,Sarah Victoria,OTHER
Would you like to know the most sensitive part of my body?🙈,BUMP,$0,C06199,12,Short,Afternoon,,2025-08-20 00:52,John,2,,OTHER
Do you want me to be your good girl tonight... or your filthy little slut? 😈,BUMP,$0,C06200,16,Short,Late Night,,2025-08-03 19:10,George,1,Kay Claire,OTHER
Too tempting to ignore...🔝🔝 I know you’ll love every second of it 😉🔥,BUMP,$0,C06201,13,Short,Morning,,,,,,OTHER
I keep picturing your hands all over me... where would you touch first? 😈,BUMP,$0,C06202,14,Short,Evening,,,,,,OTHER
"Let’s make a mess together, Daddy😈",BUMP,$0,C06203,6,Short,Evening,,2025-08-05 00:31,Camsy,2,Mia Foster,OTHER
i feel like getting naughty in red 🍒,BUMP,$0,C06204,8,Short,Late Night,,,,,,OTHER
did you not want to see how wet my kitty can get 😻💦💦,BUMP,$0,C06205,13,Short,Evening,,,,,,OTHER
If you skip that 👆 you’ll regret it later😉💋,BUMP,$0,C06206,9,Short,Afternoon,,2025-08-24 23:58,John,1,,OTHER
Too tempting to ignore👆🏻👆🏻 better catch it while you can 😘,BUMP,$0,C06207,11,Short,Evening,,2025-08-05 10:12,George,1,Tori Rae,OTHER
whats better than a pretty face like mine?... covered in your cum 🤭,BUMP,$0,C06208,13,Short,Afternoon,,,,,,OTHER
is it too early for a one piece? 😋,BUMP,$0,C06209,9,Short,Morning,,2025-08-24 23:45,John,2,,OTHER
I’ve got a few dirty thoughts I can’t get out of my head... wanna hear my favorite one? 🔥,BUMP,$0,C06210,19,Short,Evening,,2025-08-29 02:19,Gee,1,Sarah Victoria,OTHER
I think I know what to do to make your cock throb .. Wanna hear it?😈,BUMP,$0,C06211,16,Short,Late Night,,2025-08-29 02:21,Gee,2,Sarah Victoria,OTHER
You’ll be dreaming about this tonight... 😉👆,BUMP,$0,C06212,7,Short,Evening,,2025-08-05 10:14,George,2,Tori Rae,OTHER
"come closer, I don’t bite... unless you want me to, daddy😈",BUMP,$0,C06213,11,Short,Evening,,,,,,OTHER
I want that dick dip on me... 😈,BUMP,$0,C06214,8,Short,Late Night,,2025-07-29 23:32,Camsy,1,Tessa Thomas,OTHER
Woke up soaked... guess who I was dreaming about 😈,BUMP,$0,C06215,10,Short,Afternoon,,,,,,OTHER
Are you enjoying your day so far?,BUMP,$0,C06216,7,Short,Evening,,2025-08-06 08:22,George,1,Dianna Grace,OTHER
"If I was completely restrained for you to have your way with me, where would you start?😉",BUMP,$0,C06217,17,Short,Late Night,,2025-08-10 10:33,Gee,1,Isabella Kinsley,OTHER
I'm thinking of something... and it involves you😉 Can you guess what it is?,BUMP,$0,C06218,14,Short,Afternoon,,,,,,OTHER
Heyyy! Just wanted to make sure you're not too busy being awesome to chat with me😉,BUMP,$0,C06219,16,Short,Evening,,2025-08-29 02:23,Gee,2,Sarah Victoria,OTHER
Still waiting for you to unlock that post...👆🏻👆🏻 I promise it’s so worth it💋,BUMP,$0,C06220,14,Short,Evening,,,,,,OTHER
Do you wanna spice up your morning with a flavorful surprise?😈,BUMP,$0,C06221,11,Short,Afternoon,,2025-08-26 01:44,John,3,Charlotte Rose,OTHER
not getting of my last messages is crazyyyy ngl youre missing out today lol,BUMP,$0,C06222,14,Short,Overnight,,,,,,OTHER
What kind of porn turns you on the most... or would you rather just watch me instead? 💦😈,BUMP,$0,C06223,18,Short,Afternoon,,,,,,OTHER
Playtime’s about to get real messy... ready? 😈,BUMP,$0,C06224,8,Short,Late Night,,2025-08-26 01:21,John,3,Kay,OTHER
"I’m laying here wearing almost nothing, wondering if you'd tell me to keep going... would you? 💋",BUMP,$0,C06225,17,Short,Afternoon,,,,,,OTHER
I’ve been a little too good lately... think you could help me fix that? 😏,BUMP,$0,C06226,15,Short,Afternoon,,2025-07-28 14:00,George,1,Tori Rae,OTHER
It's a slow day today. Want to make it more exciting?😉,BUMP,$0,C06227,11,Short,Afternoon,,2025-08-29 06:00,Gee,2,Sophia Grace,OTHER
How’d you sleep 🫶,BUMP,$0,C06228,4,Short,Afternoon,,,,,,OTHER
wish i had your hard cock in my hand right now 🤤🤤,BUMP,$0,C06229,12,Short,Morning,,2025-07-24 01:50,Chu,1,Taylor Wild,OTHER
okay its time to spice it up baby 😈😈 get ready for what im about to send you,BUMP,$0,C06230,18,Short,Evening,,2025-07-30 00:42,Camsy,1,Cali Love,OTHER
if i spend the night just know im leaving with a pair of boxers 🤭,BUMP,$0,C06231,15,Short,Evening,,,,,,OTHER
sitting here imagining you stroking yourself to my vids ;) it turns me on so much 😘,BUMP,$0,C06232,17,Short,Morning,,2025-07-30 10:02,Camsy,1,Caroline Mae,OTHER
How’s your day going :3 any fun plans this weekend?,BUMP,$0,C06233,10,Short,Evening,,,,,,OTHER
"Why haven’t you opened it yet, baby?🔝🔝🔝🤭",BUMP,$0,C06234,7,Short,Late Night,,,,,,OTHER
👆👆One click away from something you’ll never forget😉 👆👆,BUMP,$0,C06235,9,Short,Evening,,2025-08-23 01:38,John,1,,OTHER
"been dying to know what is your wildest thought about me.. tell me, babe?🙈",BUMP,$0,C06236,14,Short,Late Night,,07/19/2025,AC,1,,OTHER
Up for some fun babe?,BUMP,$0,C06237,5,Short,Evening,,2025-08-10 23:05,George,3,Dianna Grace,OTHER
tell me—where on my body would you cum first? 🤔,BUMP,$0,C06238,10,Short,Late Night,,2025-07-31 08:12,Camsy,2,Tessa Thomas,OTHER
"tell me, is this weekend gonna be wild, chill, or full of me?🤭",BUMP,$0,C06239,13,Short,Late Night,,2025-08-21 23:20,John,1,,OTHER
just wanted to send some positive vibes your way! I appreciate everything you do dadddyyy!!,BUMP,$0,C06240,15,Short,Late Night,,,,,,OTHER
ever wondered how i sound when i’m really enjoying myself? my new toy helped me make sure you’ll hear every bit of it😈,BUMP,$0,C06241,23,Medium,Morning,,2025-07-24 04:26,Lyn,1,Bella Ryder,OTHER
I’m liveee come see me;) it would be hot to make some custom content for you in a pvt there ;),BUMP,$0,C06242,21,Medium,Late Night,,,,,,OTHER
i love being put in this position 🥵,BUMP,$0,C06243,8,Short,Evening,,2025-07-30 00:43,Camsy,1,Cali Love,OTHER
can you mess my hair up like this 😋,BUMP,$0,C06244,9,Short,Afternoon,,2025-07-24 04:27,Lyn,1,Bella Ryder,OTHER
heyy if you buy my $15 set i sent out last night ill put you on a discount list for my full nude sets coming out tonight while im live ;),BUMP,$0,C06245,31,Medium,Evening,,,,,,OTHER
I know exactly what you like👆👆 and I did it just for you 😈,BUMP,$0,C06246,14,Short,Evening,,,,,,OTHER
What's the most exciting point of your day so far?,BUMP,$0,C06247,10,Short,Evening,,,,,,OTHER
i know you love my mirror pics baby 💋,BUMP,$0,C06248,9,Short,Afternoon,,2025-09-06 21:39,George,1,Kay Claire,OTHER
"How do you want me, daddy? soft and sweet... or bold and bad? 😈",BUMP,$0,C06249,14,Short,Afternoon,,2025-08-13 05:48,Chu,2,Hard4Ava,OTHER
"Handcuffs, a paddle, and a blindfold... which one are you going to use for me?😈",BUMP,$0,C06250,15,Short,Evening,,2025-07-28 10:06,Gee,1,Isabella Kinsley,G/G
"The last post? Yeah, it’s filthy. 👆👆 Don't miss out on this😉",BUMP,$0,C06251,12,Short,Evening,,,,,,OTHER
I’m in the mood to misbehave a little... care to join me? 😉,BUMP,$0,C06252,13,Short,Late Night,,2025-08-21 23:34,John,2,scarlette Rose,OTHER
What do you have on deck today😇 😇 (if its not me it should be💋😈),BUMP,$0,C06253,15,Short,Evening,,,,,,OTHER
Will you join me for a naughty session?😈,BUMP,$0,C06254,8,Short,Afternoon,,2025-08-05 00:32,Camsy,2,Mia Foster,OTHER
Hurry before I take it down...👆🏻👆🏻 this one’s TOO wild🥵,BUMP,$0,C06255,10,Short,Late Night,,2025-08-13 05:35,Chu,1,Hard4Ava,OTHER
Would you fuck me in lingerie or nakey? 😈,BUMP,$0,C06256,9,Short,Late Night,,2025-07-28 05:49,Camsy,2,Tessa Thomas,OTHER
Got something I can slobber on? 🤤,BUMP,$0,C06257,7,Short,Morning,,,,,,OTHER
"If I told you I’m not wearing anything under this, would you behave... or would you misbehave with me?",BUMP,$0,C06258,19,Short,Late Night,,,,,,OTHER
I got a little carried away filming something just for you... curious what I was wearing? 😈,BUMP,$0,C06259,17,Short,Evening,,,,,,OTHER
"Would you tell me to stay still and behave, or get wild w you? 😉",BUMP,$0,C06260,15,Short,Evening,,2025-07-28 05:49,Camsy,2,Tessa Thomas,OTHER
I’ve been thinking about how good your hands would feel on me right now... want a preview?,BUMP,$0,C06261,17,Short,Afternoon,,,,,,OTHER
"I keep picturing you right here with me... would you take it slow, or make me beg? 💋",BUMP,$0,C06262,18,Short,Late Night,,2025-07-24 04:37,Lyn,1,Corvette Mikayla,OTHER
I can’t stop imagining what it would be like to have you here with me... want to know just how much I’ve been thinking about you? 😏🔥,BUMP,$0,C06263,27,Medium,Afternoon,,2025-08-20 23:36,John,1,Scarlette Rose,OTHER
I’ve been thinking about your hands all day... should I tell you where? 😏,BUMP,$0,C06264,14,Short,Evening,,07/19/2025,AC,1,,OTHER
I’m not wearing much and I’m feeling extra playful... wanna know what I’m up to? 🔥,BUMP,$0,C06265,16,Short,Afternoon,,2025-08-29 06:03,Gee,2,Sophia Grace,OTHER
I’ve been teasing myself just thinking about you... do you think you can handle all the fun we could have together? 😘,BUMP,$0,C06266,22,Medium,Late Night,,,,,,OTHER
"Every time I think of you, my body reacts... how badly do you want to see how I feel right now? 😈💋",BUMP,$0,C06267,22,Medium,Evening,,,,,,OTHER
Bae are you horny? feeling sooo freaky right now i need some company,BUMP,$0,C06268,13,Short,Late Night,,2025-07-28 05:50,Camsy,1,Nora Rhodes,OTHER
can i steal your attention for just a moment?🥰 there's something i’ve been dying to tell you..,BUMP,$0,C06269,17,Short,Evening,,,,,,OTHER
Guess what I’m thinking about.. hint: it definitely involves you. 😘,BUMP,$0,C06270,11,Short,Late Night,,,,,,OTHER
I want to hear your heavy breath while talking dirty to me 😍,BUMP,$0,C06271,13,Short,Morning,,2025-08-17 08:02,George,2,Dianna Grace,OTHER
If we had one night with no rules... what would we do first? 😈,BUMP,$0,C06272,14,Short,Evening,,2025-08-21 00:10,John,3,,OTHER
Wanna know what I’m not wearing right now? 😉,BUMP,$0,C06273,9,Short,Afternoon,,2025-08-03 19:12,George,2,Kay Claire,OTHER
"***p.s. These vids will *NOT* be sent back out in 2024, new year, new content***",BUMP,$0,C06274,15,Short,Late Night,,,,,,OTHER
"What’s one thing you’ve always wanted to do, but haven’t gotten the chance to try yet? Maybe I can make it happen. 😈",BUMP,$0,C06275,23,Medium,Late Night,,2025-08-20 23:21,John,2,Scarlette Rose,OTHER
I was just thinking about what it would be like if you were here with me... curious? 😉,BUMP,$0,C06276,18,Short,Evening,,2025-07-30 19:22,Lyn,1,Corvette Mykala,OTHER
im live come join meeeee lets chat,BUMP,$0,C06277,7,Short,Late Night,,,,,,OTHER
"If I whispered something naughty in your ear right now, how would you react? 😏",BUMP,$0,C06278,15,Short,Afternoon,,2025-07-30 19:34,Lyn,1,Corvette Mykala,OTHER
Still horny?? I can suck for hours 😉 🥰,BUMP,$0,C06279,9,Short,Afternoon,,2025-07-30 19:36,Lyn,1,Corvette Mykala,BJ
If I whispered in your ear exactly what I want right now... would you listen or make me beg? 💋,BUMP,$0,C06280,20,Short,Late Night,,2025-08-21 00:14,John,2,Charlotte Rose,OTHER
I just had the dirtiest thought about you... wanna hear every filthy little detail? 😈,BUMP,$0,C06281,15,Short,Evening,,2025-07-30 19:38,Lyn,1,Corvette Mykala,OTHER
My pussy is still dripping from teasing it so much 💦 💦,BUMP,$0,C06282,12,Short,Afternoon,,2025-08-06 11:35,Camsy,2,Tessa Thomas,OTHER
Too tempting to ignore👆🏻👆🏻 might just become your new obsession😉,BUMP,$0,C06283,10,Short,Afternoon,,2025-07-28 05:51,Camsy,1,Lucy Grace,OTHER
Wanna help me make a decision? Should my clothes stay on... or come off one by one? 😉,BUMP,$0,C06284,18,Short,Evening,,2025-07-30 19:39,Lyn,1,Corvette Mykala,G/G
My jaw is getting quite the workout today😋🍆💦,BUMP,$0,C06285,8,Short,Afternoon,,2025-07-29 23:34,Camsy,1,Tessa Thomas,OTHER
"Lying here in just a tiny thong, feeling way too needy... Mind if I send you something that'll drive you just as crazy? 💋",BUMP,$0,C06286,24,Medium,Evening,,2025-08-29 06:08,Gee,2,Sophia Grace,OTHER
Care to distract me before my imagination gets even filthier? 🤤,BUMP,$0,C06287,26,Medium,Afternoon,,2025-08-29 06:26,Gee,2,Tessa Dove,OTHER
I’ve got a surprise for you.. but you’re gonna have to be a very good boy to get it 😘,BUMP,$0,C06288,20,Short,Evening,,2025-08-20 23:54,John,2,,OTHER
"I’ve been so patient, but babe... I need you to be rough tonight. Deal?",BUMP,$0,C06289,14,Short,Late Night,,,,,,OTHER
"2024 im gonna be sucking so much more dick than i did this year, thanks to you 🥰 🥰",BUMP,$0,C06290,19,Short,Afternoon,,,,,,BJ
I’m feeling extra bold tonight... think you can handle the tease I’ve got planned just for you? 😈,BUMP,$0,C06291,18,Short,Late Night,,2025-07-28 10:00,Gee,1,,OTHER
I was gonna be good tonight... but where’s the fun in that? 😈,BUMP,$0,C06292,13,Short,Late Night,,,,,,OTHER
I just filmed something that made me blush watching it back... curious what kind of trouble I got into? 👀,BUMP,$0,C06293,20,Short,Overnight,,,,,,OTHER
"I woke up with a few dirty thoughts... want me to share the naughtiest one first, or save it for later? 😏",BUMP,$0,C06294,22,Medium,Afternoon,,2025-07-30 19:41,Lyn,1,Bella Jade,OTHER
Care to distract me before my imagination gets even filthier? 🤤,BUMP,$0,C06295,11,Short,Morning,,2025-08-05 23:46,Camsy,2,Cali Love,OTHER
ive literally been wet all day 🥵 how many nuts did i make you bust so far?,BUMP,$0,C06296,17,Short,Afternoon,,2025-07-30 19:42,Lyn,1,Bella Jade,OTHER
"I’ve got a naughty little secret, and it’s getting harder to keep it in 😇 Wanna guess?",BUMP,$0,C06297,17,Short,Late Night,,2025-07-30 10:02,Camsy,2,Caroline Mae,OTHER
How long do you think it’d take you to make me scream tonight? Wanna test it out? 😘,BUMP,$0,C06298,18,Short,Evening,,,,,,OTHER
I didn’t mean to turn myself on that much... but now I need you 😩,BUMP,$0,C06299,15,Short,Afternoon,,2025-07-24 02:56,Lyn,1,Alex Love,OTHER
Is it hard ? Or should I make it harder? 😈,BUMP,$0,C06300,11,Short,Afternoon,,2025-08-06 04:39,George,2,Kay Claire,OTHER
has anything made you smile today? 😏,BUMP,$0,C06301,7,Short,Afternoon,,2025-07-24 03:17,Lyn,1,Alex Love,OTHER
I want to be the reason you whisper curses and lose your composure right now 😘,BUMP,$0,C06302,16,Short,Morning,,2025-07-24 04:08,Lyn,1,Bella Jade,OTHER
Be soft with your words and hard with your grip. Can you handle that balance? 😉,BUMP,$0,C06303,16,Short,Evening,,2025-07-24 03:41,Lyn,1,Alex Love,OTHER
Baby pls I wanna make you cum so bad ! 💦😋,BUMP,$0,C06304,11,Short,Late Night,,2025-07-30 23:01,Camsy,2,Tessa Thomas,OTHER
I'm not wearing much right now... think you’d be able to handle the view? 👀💋,BUMP,$0,C06305,15,Short,Afternoon,,2025-07-30 19:42,Lyn,1,Bella Jade,OTHER
"If I asked you to be gentle, would you still be rough? 🫣",BUMP,$0,C06306,13,Short,Morning,,2025-08-07 08:06,George,2,Dianna Grace,OTHER
Do you prefer it with the lights on or off? 😉,BUMP,$0,C06307,11,Short,Evening,,2025-07-30 15:37,George,2,Dianna Grace,G/G
I’ve been thinking about the way your hands would feel all over me... wanna give me a little preview? 😏💦,BUMP,$0,C06308,20,Short,Afternoon,,2025-07-30 19:44,Lyn,1,Alex Love,OTHER
"If you told me where to touch myself right now, I wouldn’t even hesitate 🫣",BUMP,$0,C06309,15,Short,Morning,,2025-07-24 04:06,Lyn,1,Bella Jade,OTHER
Which part of me will you lick first baby?😈,BUMP,$0,C06310,9,Short,Afternoon,,2025-07-31 08:13,Camsy,3,Tessa Thomas,OTHER
I'm an independent woman. But I want you to tease me until I break 🥵,BUMP,$0,C06311,15,Short,Evening,,2025-07-30 19:45,Lyn,1,Alex Love,OTHER
Ummm excuse me? Ur online with a hard cock!! 🍆 let me take control of that baby🙈,BUMP,$0,C06312,17,Short,Afternoon,,2025-07-30 19:45,Lyn,1,Alex Love,OTHER
"If I whispered your name while teasing myself, would you come help or just watch? 😘🔥",BUMP,$0,C06313,16,Short,Evening,,2025-07-30 19:46,Lyn,1,Alex Love,OTHER
I’ve been a naughty girl 🥺 I think I need a spanking 😋,BUMP,$0,C06314,13,Short,Evening,,2025-07-28 01:17,George,1,Dianna Grace,OTHER
reply to this for a free Dick rating rn baby 🍆😋,BUMP,$0,C06315,11,Short,Afternoon,,,,,,OTHER
Babe what are u up to? wanna have some fun with me?🤭,BUMP,$0,C06316,12,Short,Afternoon,,2025-08-21 00:27,John,3,Nora Rhodes,OTHER
You cumming for a little naughty night together baby?🙈🥵,BUMP,$0,C06317,9,Short,Late Night,,2025-08-06 01:31,Camsy,2,Tessa Thomas,OTHER
do you not want to see how good i eat pussy🥺,BUMP,$0,C06318,11,Short,Morning,,,,,,OTHER
Wanna have some fun together baby🙈😈,BUMP,$0,C06319,6,Short,Afternoon,,2025-07-28 01:18,George,1,Dianna Grace,OTHER
Hey-hey!💋 I am so lonely now😔 Can you find some time for me?🥺,BUMP,$0,C06320,13,Short,Afternoon,,2025-07-24 04:10,Lyn,1,Bella Jade,OTHER
I bet you taste soo good 👅,BUMP,$0,C06321,7,Short,Evening,,2025-08-06 04:40,George,3,Kay Claire,OTHER
Baby are u still up? 🥺,BUMP,$0,C06322,6,Short,Late Night,,2025-08-25 07:21,George,3,Kay Claire,OTHER
"I keep imagining you behind me, pulling me close... is that what you’d really do? 🍑💦",BUMP,$0,C06323,16,Short,Evening,,2025-07-30 19:47,Lyn,1,Alex Love,OTHER
wydddd I wanna talk,BUMP,$0,C06324,4,Short,Late Night,,2025-07-30 00:43,Camsy,2,Mia Foster,OTHER
Do u love a sloppy bj?🤤,BUMP,$0,C06325,6,Short,Afternoon,,2025-08-07 09:32,Camsy,1,Tessa Thomas,BJ
Baby.. play with it for me 🥺 I wanna watch you swing it in your hand🍆,BUMP,$0,C06326,16,Short,Evening,,2025-08-07 09:33,Camsy,1,Tessa Thomas,OTHER
CUM SHOWER WITH ME DADDY,BUMP,$0,C06327,5,Short,Afternoon,,,,,,OTHER
i know ur curious 😈,BUMP,$0,C06328,5,Short,Afternoon,,,,,,OTHER
"I think if you were here, I wouldn’t be able to stay quiet... do you agree?",BUMP,$0,C06329,16,Short,Evening,,2025-07-30 19:48,Lyn,1,Alex Love,OTHER
I’ve got one hand under the sheets and one holding my phone... want to guess which one wants your attention more? 👀💦,BUMP,$0,C06330,22,Medium,Evening,,2025-07-30 19:49,Lyn,1,Alex Love,OTHER
If I climbed into your bed right now... what would you do first? 😏💋,BUMP,$0,C06331,14,Short,Afternoon,,2025-07-30 19:49,Lyn,1,Alex Love,OTHER
YOU DON'T WANT TO MISS MY LATEST POST DADDY 😈🙈 ITS DEF ONE OF MY DIRTIEST ONES YET 😋🐱💦COME WATCH ME GET WET AND WILD,BUMP,$0,C06332,25,Medium,Afternoon,,,,,,OTHER
Should I take it all off? 😉,BUMP,$0,C06333,7,Short,Afternoon,,2025-07-28 05:54,Camsy,1,Cali Love,G/G
"I’m lying here, legs spread, thinking about you... wanna join the fantasy? 😉",BUMP,$0,C06334,13,Short,Evening,,,,,,OTHER
What would u do to my cat? 🐱💦,BUMP,$0,C06335,8,Short,Late Night,,,,,,OTHER
"If I whispered exactly where I want your hands, would you be able to keep them there? 😏🖤",BUMP,$0,C06336,18,Short,Evening,,,,,,OTHER
"Guess what I’m not wearing right now... want a hint, or just a picture? 😈📸",BUMP,$0,C06337,15,Short,Afternoon,,,,,,OTHER
want to see more? 🥵 🥵,BUMP,$0,C06338,6,Short,Evening,,2025-08-06 01:31,Camsy,2,Tessa Thomas,OTHER
def gonna unsend that one later today,BUMP,$0,C06339,7,Short,Evening,,,,,,OTHER
I just moaned your name into my pillow and I need you to make me say it louder 😍,BUMP,$0,C06340,19,Short,Morning,,,,,,OTHER
open my box baby i want you inside😋,BUMP,$0,C06341,8,Short,Late Night,,,,,,OTHER
Would you make me wait if I said I’m dripping rn? 🫣,BUMP,$0,C06342,12,Short,Morning,,2025-07-24 05:55,Chu,1,leilaleighxo,OTHER
I want to hear what you sound like when I drive you crazy 😈,BUMP,$0,C06343,14,Short,Evening,,,,,,OTHER
i figured if everyone else was leaking it may as well post it too🙈,BUMP,$0,C06344,14,Short,Morning,,,,,,OTHER
Say something that makes me press record and start getting dirty 😈,BUMP,$0,C06345,12,Short,Morning,,,,,,OTHER
Don't you want to see my play with my wet pussy in the shower baby 💦💦💦,BUMP,$0,C06346,16,Short,Morning,,,,,,OTHER
sorry ive been super these past few days i havent been live ;( once im back ill be better than ever hehe,BUMP,$0,C06347,22,Medium,Late Night,,,,,,OTHER
I need to be teased or else I'm gonna do it by myself.. and I don't wanna do it alone 🫣,BUMP,$0,C06348,21,Medium,Evening,,,,,,OTHER
What part of your body are you most proud of baby? 🙈😋,BUMP,$0,C06349,12,Short,Evening,,2025-07-28 05:55,Camsy,1,Mia Foster,OTHER
Wanna be the reason I take this tiny thong off... nice and slow? 😈🍑,BUMP,$0,C06350,14,Short,Late Night,,2025-08-29 06:29,Gee,2,Tessa Dove,G/G
One touch away from losing control... should I keep teasing or give you the full show? 😏🔥,BUMP,$0,C06351,17,Short,Evening,,,,,,OTHER
I’ve been playing with myself while thinking about you... wanna know what I imagined? 💦👀,BUMP,$0,C06352,15,Short,Afternoon,,,,,,OTHER
"Lying in bed, no pants, a few wicked thoughts... wanna hear the naughtiest one? 😉🛏️",BUMP,$0,C06353,15,Short,Evening,,07/19/2025,CAMSY,1,,OTHER
Just went live and I have a lush 😼🥰,BUMP,$0,C06354,9,Short,Late Night,,,,,,OTHER
Bet you won’t last long once you press play... 😈,BUMP,$0,C06355,10,Short,Evening,,2025-07-28 05:55,Camsy,1,Mia Foster,OTHER
what’s the weekend looking like for you? thinking of adding a little spice to it?🤭,BUMP,$0,C06356,15,Short,Late Night,,,,,,OTHER
"I was being good, I swear... until I started imagining your hands all over me. Want me to keep going or stop? 😇🍑",BUMP,$0,C06357,23,Medium,Evening,,,,,,OTHER
You’re really gonna leave me waiting? 👀,BUMP,$0,C06358,7,Short,Evening,,2025-07-30 00:44,Camsy,1,Cali Love,OTHER
I’ve been such a tease today... think you could handle me if I misbehave a little more? 😏🔥,BUMP,$0,C06359,18,Short,Afternoon,,2025-07-24 09:41,Gee,1,Isabella Kinsley,OTHER
I just slipped into something tiny and now I can’t stop thinking about how you’d react... wanna guess what color it is? 😈💋,BUMP,$0,C06360,23,Medium,Afternoon,,,,,,OTHER
You’re still hesitating? Watch and see what you’re missing out on 💋,BUMP,$0,C06361,12,Short,Late Night,,,,,,OTHER
Where do you want my tongue? 👅,BUMP,$0,C06362,7,Short,Evening,,2025-08-06 04:44,George,3,Kay Claire,OTHER
Not everyone got this drop. You might be luckier than you think 😏,BUMP,$0,C06363,13,Short,Evening,,,,,,OTHER
The clock’s ticking...make sure you don't miss out on that one 😉,BUMP,$0,C06364,12,Short,Afternoon,,,,,,OTHER
Still thinking about it? I’d be dripping by now if I were you...😏,BUMP,$0,C06365,13,Short,Morning,,,,,,OTHER
my pussy is is still throbbing from that last vid 😈🙈,BUMP,$0,C06366,11,Short,Late Night,,,,,,OTHER
I'm still waiting for you to open that naughty surprise I have for you 🙈,BUMP,$0,C06367,15,Short,Evening,,,,,,OTHER
